GenomeID	Assembly	Organism_Name	Domain	Phylum	Tandem_repeat_percentage
GCA_000001215	GCA_000001215.4	Drosophila melanogaster	Eukaryota	Animals	6.599457
GCA_000001635	GCA_000001635.9	Mus musculus	Eukaryota	Animals	11.60916
GCA_000001735	GCA_000001735.2	Arabidopsis thaliana	Eukaryota	Plants	6.868401
GCA_000002035	GCA_000002035.4	Danio rerio	Eukaryota	Animals	14.87447
GCA_000002295	GCA_000002295.1	Monodelphis domestica	Eukaryota	Animals	12.55322
GCA_000002415	GCA_000002415.2	Plasmodium vivax	Eukaryota	Protists	10.25593
GCA_000002425	GCA_000002425.2	Physcomitrium patens	Eukaryota	Plants	5.641928
GCA_000002515	GCA_000002515.1	Kluyveromyces lactis	Eukaryota	Fungi	2.18375
GCA_000002545	GCA_000002545.2	[Candida] glabrata	Eukaryota	Fungi	2.801228
GCA_000002595	GCA_000002595.3	Chlamydomonas reinhardtii	Eukaryota	Plants	7.011611
GCA_000002655	GCA_000002655.1	Aspergillus fumigatus Af293	Eukaryota	Fungi	2.139148
GCA_000002765	GCA_000002765.3	Plasmodium falciparum 3D7	Eukaryota	Protists	12.89533
GCA_000002775	GCA_000002775.3	Populus trichocarpa	Eukaryota	Plants	8.021238
GCA_000002945	GCA_000002945.2	Schizosaccharomyces pombe	Eukaryota	Fungi	2.762654
GCA_000002985	GCA_000002985.3	Caenorhabditis elegans	Eukaryota	Animals	5.066146
GCA_000003025	GCA_000003025.6	Sus scrofa	Eukaryota	Animals	10.81486
GCA_000003195	GCA_000003195.3	Sorghum bicolor	Eukaryota	Plants	6.711291
GCA_000003225	GCA_000003225.1	Theileria annulata	Eukaryota	Protists	4.611331
GCA_000003625	GCA_000003625.1	Oryctolagus cuniculus	Eukaryota	Animals	10.88958
GCA_000003815	GCA_000003815.2	Branchiostoma floridae	Eukaryota	Animals	19.16145
GCA_000004075	GCA_000004075.3	Cucumis sativus	Eukaryota	Plants	6.836327
GCA_000004195	GCA_000004195.4	Xenopus tropicalis	Eukaryota	Animals	13.02117
GCA_000004515	GCA_000004515.5	Glycine max	Eukaryota	Plants	6.584511
GCA_000004695	GCA_000004695.1	Dictyostelium discoideum AX4	Eukaryota	Protists	6.207208
GCA_000005505	GCA_000005505.4	Brachypodium distachyon	Eukaryota	Plants	7.013902
GCA_000006355	GCA_000006355.3	Plasmodium knowlesi strain H	Eukaryota	Protists	9.053343
GCA_000006565	GCA_000006565.2	Toxoplasma gondii ME49	Eukaryota	Protists	5.049291
GCA_000026365	GCA_000026365.1	Zygosaccharomyces rouxii	Eukaryota	Fungi	2.805611
GCA_000026945	GCA_000026945.1	Candida dubliniensis CD36	Eukaryota	Fungi	2.764977
GCA_000090745	GCA_000090745.2	Anolis carolinensis	Eukaryota	Animals	12.31087
GCA_000090985	GCA_000090985.2	Micromonas commoda	Eukaryota	Plants	5.689689
GCA_000091025	GCA_000091025.4	Eremothecium gossypii ATCC 10895	Eukaryota	Fungi	2.575377
GCA_000091045	GCA_000091045.1	Cryptococcus neoformans var. neoformans JEC21	Eukaryota	Fungi	2.27684
GCA_000091205	GCA_000091205.1	Cyanidioschyzon merolae strain 10D	Eukaryota	Other	2.644181
GCA_000092065	GCA_000092065.1	Ostreococcus lucimarinus CCE9901	Eukaryota	Plants	3.643299
GCA_000142805	GCA_000142805.1	Lachancea thermotolerans CBS 6340	Eukaryota	Fungi	2.416028
GCA_000143535	GCA_000143535.4	Botrytis cinerea B05.10	Eukaryota	Fungi	3.188579
GCA_000146045	GCA_000146045.2	Saccharomyces cerevisiae S288C	Eukaryota	Fungi	2.694163
GCA_000149405	GCA_000149405.2	Thalassiosira pseudonana CCMP1335	Eukaryota	Other	5.468145
GCA_000149555	GCA_000149555.1	Fusarium verticillioides 7600	Eukaryota	Fungi	2.347388
GCA_000150955	GCA_000150955.2	Phaeodactylum tricornutum CCAP 1055/1	Eukaryota	Other	4.369166
GCA_000165345	GCA_000165345.1	Cryptosporidium parvum Iowa II	Eukaryota	Protists	3.994744
GCA_000165365	GCA_000165365.1	Theileria parva strain Muguga	Eukaryota	Protists	5.136364
GCA_000165395	GCA_000165395.1	Babesia bovis T2Bo	Eukaryota	Protists	3.184026
GCA_000165445	GCA_000165445.3	Microcebus murinus	Eukaryota	Animals	11.57782
GCA_000180635	GCA_000180635.4	Pristionchus pacificus	Eukaryota	Animals	7.567055
GCA_000182925	GCA_000182925.2	Neurospora crassa OR74A	Eukaryota	Fungi	3.125961
GCA_000182965	GCA_000182965.3	Candida albicans SC5314	Eukaryota	Fungi	2.636816
GCA_000184155	GCA_000184155.1	Fragaria vesca subsp. vesca	Eukaryota	Plants	6.6966
GCA_000184455	GCA_000184455.3	Aspergillus oryzae RIB40	Eukaryota	Fungi	2.31075
GCA_000185945	GCA_000185945.1	Cryptococcus gattii WM276	Eukaryota	Fungi	2.19345
GCA_000187245	GCA_000187245.3	Ogataea parapolymorpha DL-1	Eukaryota	Fungi	1.896714
GCA_000188115	GCA_000188115.4	Solanum lycopersicum	Eukaryota	Plants	7.37567
GCA_000209165	GCA_000209165.1	Scheffersomyces stipitis CBS 6054	Eukaryota	Fungi	2.492265
GCA_000214015	GCA_000214015.2	Ostreococcus tauri	Eukaryota	Plants	4.185448
GCA_000219625	GCA_000219625.1	Zymoseptoria tritici IPO323	Eukaryota	Fungi	2.74198
GCA_000226095	GCA_000226095.1	Thermothelomyces thermophilus ATCC 42464	Eukaryota	Fungi	1.989667
GCA_000226115	GCA_000226115.1	Thermothielavioides terrestris NRRL 8126	Eukaryota	Fungi	2.295918
GCA_000227115	GCA_000227115.2	Naumovozyma dairenensis CBS 421	Eukaryota	Fungi	2.434187
